201201,帕卡,PAKHAR,201221,4.457233415016452,201217,5.299187754731898,201204,7.065455427902644
201202,珊瑚,Sanvu,201307,5.2436880443383815,201215,5.9766144210454595,201221,6.04710296583713
201203,玛娃,MAWAR,201224,18.73159207273717,201106,19.570228478637468,201330,20.527716899233823
201204,古超,Guchol,201102,2.495568504140154,201217,3.622355038371706,201216,4.79223103310601
201205,泰利,Talim,201407,2.712559410299147,201311,2.8224141184437723,201214,2.897334426452261
201206,杜苏芮,Doksuri,201415,1.5274603063612417,201213,1.6267240856924596,201329,1.7412509267903262
201207,卡努,Khanun,201215,0.9485871714072236,201109,1.8839493123716524,201324,2.146044027807948
201208,韦森特,Vicente,201213,0.9409627751604629,201415,1.5642817269017435,201117,2.0667585837861444
201209,苏拉,Saola,201410,0.9728024217458113,201111,2.650595134565619,201315,2.712715248126254
201210,达维,Damrey,201211,5.0272387114863255,201207,7.082590497397026,201215,7.593128282254811
201211,海葵,Haikui,201307,3.658049279481342,201109,3.662826322863727,201207,4.531987844595966
201212,鸿雁,Kirogi,201116,5.881623572937627,201218,7.0165835648599355,201222,7.097167708069261
201213,启德,Kai-tak,201415,0.8579686449706154,201208,1.4784817916801614,201117,1.691061767873503
201214,天秤,Tembin,201416,2.355591348620263,201315,3.366595534677282,201410,3.5906631097375534
201215,布拉万,Bolaven,201109,2.667537956150041,201216,5.188164231337349,201207,5.799816120501563
201216,三巴,Sanba,201109,4.7215320447619735,201215,5.498976795704047,201105,5.64868768479218
201217,杰拉华,Jelawat,201115,7.4108777625190925,201221,7.87857612453297,201201,7.942817199153911
201218,艾云尼,Ewiniar,201116,3.2598402405932196,201222,4.691580367699845,201115,5.7956063129519695
201219,马力斯,Maliksi,201222,2.0075099299162904,201106,2.6474009602095068,201218,3.703914487839767
201220,格美,Gaemi,201325,1.7845725562386674,201223,2.266355283032703,201409,2.5526145499583044
201221,派比安,PRAPIROON,201201,3.936819548945491,201204,4.380005514229781,201217,4.853980689495883
201222,玛利亚,Maria,201218,5.685541129791533,201116,6.943974725830407,201219,7.236957965623289
201223,山神,Son-Tinh,201330,1.2068429719380263,201409,2.7489695897516206,201306,2.932679439481509
201224,宝霞,Bopha,201330,3.231520019314872,201409,9.19420795508824,201204,10.131021472034714
