23.8	113.8		10				
24.1	114.9		12				
24.3	116		15				
24.4	117.1		17				
24.4	118.2		20				
24.2	119.3		20				
23.8	120.3		20				
23.4	121.3		23				
23	122.2		25				
22.7	123.1		30				
22.6	123.8		33				
22.5	124.5		33				
22.5	125.2		35				
22.4	126		35				
22.3	126.9		38				
22.1	127.8		43				
21.7	128.8		46				
21.2	129.8		51				
20.5	131		53				
19.8	132.2		56				
19.1	133.3		59				
18.4	134.2		59				
17.8	135.2		61				
17.3	136		61				
16.9	136.8		61				
16.5	137.6		61				
16	138.3		61				
15.8	138.9		64				
15.4	139.5		64				
15	140		66				
14.7	140.5		66				
14.4	141.1		64				
14.2	141.8		61				
14	142.6		61				
13.8	143.4		59				
13.6	144.2		59				
13.4	145		51				
13.1	145.8		43				
12.8	146.6		41				
12.5	147.3		38				
12.2	147.8		35				
11.8	148		33				
11.4	148.1		30				
11.1	148.4		28				
10.8	148.9		28				
10.6	149.6		28				
10.2	150.3		25				
9.9	151.2		23				
9.6	152.2		23				
9.2	153.2		20				
8.9	154.3		17				
8.6	155.4		15				
8.3	156.5		12				
8	157.6		12				
7.7	158.8		12				
7.5	160		10				
7.4	161.2		10				
7.3	162.4		10				
7.2	163.5		10				
7.2	164.6		7				
7.1	165.6		7				
7	166.6		7				
7	167.6		7				
7	168.5		7				
7	169.4		7				
6.9	170.3		7				
6.8	171.3		5				
6.7	172.3		5				
6.6	173.3		5				
