31	108		5				
30.6	109		5				
30	110		5				
29	111		5				
28	112		5				
27.5	113		5				
27	114		7				
26.3	115.7		10				
25.7	117.6		12				
25.3	118.7		20				
25.1	119.8		30				
25	121.4		38				
24.8	122.9		46				
24.5	124.3		48				
24.2	125.6		48				
23.9	126.9		51				
23.7	128.2		53				
23.5	129.7		56				
23.1	131.1		59				
22.4	132.3		61				
21.6	133.4		64				
20.8	134.6		61				
20	135.8		53				
19.1	137		46				
18.3	138.3		41				
17.5	139.5		38				
16.8	140.6		35				
16.1	141.6		33				
15.4	142.4		30				
15.1	143		30				
15.1	143.5		30				
15.1	143.9		28				
15.2	144.3		25				
15.6	144.7		23				
15.7	145.1		20				
15.2	145.5		17				
14.7	145.9		15				
14.2	146.3		15				
13.7	146.6		15				
12.7	146.8		12				
11.7	147		12				
11.3	147.6		12				
11	148.8		12				
10.6	150.2		10				
10.2	151.6		10				
9.8	152.9		10				
9.4	154.3		10				
9.1	155.7		10				
8.8	157.1		10				
8.5	158.6		10				
8.2	160.1		12				
