24	115.1		12				
23.9	115.8		15				
23.7	116.6		23				
23.5	118		28				
22.9	119		30				
22.4	119.7		33				
22.9	120.8		38				
22.6	122.2		48				
22.6	123.6		48				
22.7	124.7		46				
22.7	126.1		43				
22.4	127.6		41				
22	129.1		38				
21.4	130.6		35				
20.7	132		33				
20	133.4		30				
19.2	134.5		28				
18.3	135.5		25				
17.2	136.1		23				
16.6	136.3		23				
16.6	136.6		20				
16.8	137.1		20				
16.9	137.6		17				
16.9	138.2		17				
17	139.4		17				
16.9	140.7		15				
16.7	142		15				
16.2	143.7		15				
14	144		12				
