28	116		15				
25.8	117		17				
25.3	116		17				
25	118		20				
25.2	118.1		20				
24.6	119.1		33				
24.3	120.3		38				
24.3	121.5		46				
24.1	123.2		48				
23.8	124.8		51				
23.5	126.2		53				
23.2	127.6		59				
22.8	129		61				
22.6	130.6		64				
22.1	132.2		66				
21.7	133.6		69				
21.1	135.1		74				
20.4	136.7		77				
19.8	138.2		74				
19.3	139.9		71				
18.7	141.5		71				
18.3	143.2		69				
18	145.1		66				
17.3	146.7		64				
16.9	148.4		59				
16.7	150		53				
16.5	151.7		51				
16.5	153.3		48				
16.3	154.9		46				
16.3	156.3		41				
16.6	157.6		33				
16.7	159		30				
16.8	160.4		28				
17.3	161.5		25				
17.4	162.7		17				
17.7	163.6		15				
18.2	164.2		15				
17.9	164.4		12				
